User Input,Chatbot Response,Timestamp
hi,Hi there,2025-03-16 17:47:02
hi how are you,Hey,2025-03-16 17:50:25
Hello,Hello,2025-03-16 18:47:07
Hi,Hi there,2025-03-16 18:47:13
How are you,My purpose is to assist you,2025-03-16 22:13:47
what is your purpose?,I can answer questions and provide assistance,2025-03-16 22:14:10
what is edunet foundation,I am a chatbot,2025-03-16 22:15:23
weather,You can check the weather on a weather app or website.,2025-03-16 22:16:59
technology,"Futuristic technology may include advancements in AI, nanotechnology, biotechnology, quantum computing, and space exploration.",2025-03-16 22:17:57
see you later,Take care,2025-03-16 22:19:09
hi,Hello,2025-03-16 22:29:59
Hi,Hey,2025-03-16 22:30:06
